file_name	section	paragraph	sentence_num	mention_text	candidate_entity_iri	candidate_entity_label	candidate_entity_aliases	confidence	sentence
PMC7710706	Title	1	1	Drosophila	FBbt:00000001	organism	Drosophila,FBbt:00000001,whole organism	1.0	Distributed control of motor circuits for backward walking in Drosophila
PMC7710706	Abstract	1	1	descending	FBbt:00047511	adult descending neuron	DN,FBbt:00047511	0.9331408739089966	How do descending inputs from the brain control leg motor circuits to change how an animal walks?
PMC7710706	Abstract	1	2	descending neuron	FBbt:00047511	adult descending neuron	DN,FBbt:00047511	0.9652511477470398	Conceptually, descending neurons are thought to function either as command-type neurons, in which a single type of descending neuron exerts a high-level control to elicit a coordinated change in motor output, or through a population coding mechanism, whereby a group of neurons, each with local effects, act in combination to elicit a global motor response.
PMC7710706	Abstract	1	2	local	FBbt:00051493	local neuron	local interneuron,FBbt:00051493	0.9154924154281616	Conceptually, descending neurons are thought to function either as command-type neurons, in which a single type of descending neuron exerts a high-level control to elicit a coordinated change in motor output, or through a population coding mechanism, whereby a group of neurons, each with local effects, act in combination to elicit a global motor response.
PMC7710706	Abstract	1	3	Drosophila	FBbt:00000001	organism	Drosophila,FBbt:00000001,whole organism	1.0	The Drosophila Moonwalker Descending Neurons (MDNs), which alter leg motor circuit dynamics so that the fly walks backwards, exemplify the command-type mechanism.
PMC7710706	Abstract	1	3	Moonwalker Descending Neurons	FBbt:00111308	adult moonwalker descending neuron	MDN,FBbt:00111308,MDN neuron	0.878943681716919	The Drosophila Moonwalker Descending Neurons (MDNs), which alter leg motor circuit dynamics so that the fly walks backwards, exemplify the command-type mechanism.
PMC7710706	Abstract	1	4	MDN	FBbt:00111308	adult moonwalker descending neuron	MDN,FBbt:00111308,MDN neuron	1.0	Here, we identify several dozen MDN target neurons within the leg motor circuits, and show that two of them mediate distinct and highly-specific changes in leg muscle activity during backward walking: LBL40 neurons provide the hindleg power stroke during stance phase; LUL130 neurons lift the legs at the end of stance to initiate swing.
PMC7710706	Abstract	1	4	muscle	FBbt:00003404	muscle cell of mesothoracic extracoxal depressor muscle 66	TDM,FBbt:00003404,TDT,extracoxal depressor of trochanter,jump muscle,tergal depressor of the trochanter muscle,tergal depressor of trochanter,tergotrochanter muscle,tergotrochanteral muscle,tt muscle	1.0	Here, we identify several dozen MDN target neurons within the leg motor circuits, and show that two of them mediate distinct and highly-specific changes in leg muscle activity during backward walking: LBL40 neurons provide the hindleg power stroke during stance phase; LUL130 neurons lift the legs at the end of stance to initiate swing.
PMC7710706	Abstract	1	4	hindleg	FBbt:00004707	metathoracic leg	T3 leg,FBbt:00004707,hindleg,third leg	1.0	Here, we identify several dozen MDN target neurons within the leg motor circuits, and show that two of them mediate distinct and highly-specific changes in leg muscle activity during backward walking: LBL40 neurons provide the hindleg power stroke during stance phase; LUL130 neurons lift the legs at the end of stance to initiate swing.
PMC7710706	Abstract	1	5	MDN	FBbt:00111308	adult moonwalker descending neuron	MDN,FBbt:00111308,MDN neuron	1.0	Through these two effector neurons, MDN directly controls both the stance and swing phases of the backward stepping cycle.
PMC7710706	Abstract	2	1	Drosophila	FBbt:00000001	organism	Drosophila,FBbt:00000001,whole organism	1.0	Drosophila Moonwalker Descending Neurons (MDNs) alter leg motor circuit dynamics so that the fly walks backwards.
PMC7710706	Abstract	2	1	Moonwalker Descending Neurons	FBbt:00111308	adult moonwalker descending neuron	MDN,FBbt:00111308,MDN neuron	0.878943681716919	Drosophila Moonwalker Descending Neurons (MDNs) alter leg motor circuit dynamics so that the fly walks backwards.
PMC7710706	Abstract	2	2	MDN	FBbt:00111308	adult moonwalker descending neuron	MDN,FBbt:00111308,MDN neuron	1.0	The authors identify two MDN effector neurons that directly control the stance and swing phases of the backward stepping cycle, indicating distributed control of local motor circuits via command-type descending neurons.
PMC7710706	Introduction	1	2	brain	FBbt:00110636	adult cerebral ganglion	CRG,FBbt:00110636,SPG,adult supraesophageal ganglion,brain,cerebrum	1.0	The motor circuits that produce these muscle movements are controlled by descending inputs from the brain and sensory feedback from the legs [1], [2].
PMC7710706	Introduction	1	4	external	FBbt:00005396	adult integumentary system	adult external,FBbt:00005396,adult integument	0.9493845105171204	Sensory feedback, including both external and proprioceptive signals, coordinate progression through the stepping cycle and make the fine adjustments needed to adapt to a varying terrain [5].
PMC7710706	Introduction	1	5	descending	FBbt:00047511	adult descending neuron	DN,FBbt:00047511	0.9331408739089966	While this overall organization is now well established, we still have only very limited understanding of how such descending and peripheral inputs control locomotor circuits [6].
