file_name	section	paragraph	sentence_num	mention_text	candidate_entity_iri	candidate_entity_label	candidate_entity_aliases	confidence	sentence
PMC7156266	Title	1	1	Drosophila	FBbt:00000001	organism	Drosophila,FBbt:00000001,whole organism	1.0	Unc-4 acts to promote neuronal identity and development of the take-off circuit in the Drosophila CNS
PMC7156266	Title	1	1	CNS	FBbt:00005094	central nervous system	CNS,FBbt:00005094	1.0	Unc-4 acts to promote neuronal identity and development of the take-off circuit in the Drosophila CNS
PMC7156266	Abstract	1	1	Drosophila	FBbt:00000001	organism	Drosophila,FBbt:00000001,whole organism	1.0	The Drosophila ventral nerve cord (VNC) is composed of thousands of neurons born from a set of individually identifiable stem cells.
PMC7156266	Abstract	1	1	ventral nerve cord	FBbt:00005097	ventral nerve cord	ventral nervous system,FBbt:00005097	1.0	The Drosophila ventral nerve cord (VNC) is composed of thousands of neurons born from a set of individually identifiable stem cells.
PMC7156266	Abstract	1	1	VNC	FBbt:00001102	larval ventral nerve cord	larval ventral ganglion,FBbt:00001102,ventral cord,vnc	1.0	The Drosophila ventral nerve cord (VNC) is composed of thousands of neurons born from a set of individually identifiable stem cells.
PMC7156266	Abstract	1	2	VNC	FBbt:00001102	larval ventral nerve cord	larval ventral ganglion,FBbt:00001102,ventral cord,vnc	1.0	The VNC harbors neuronal circuits required to execute key behaviors, such as flying and walking.
PMC7156266	Abstract	1	3	VNC	FBbt:00001102	larval ventral nerve cord	larval ventral ganglion,FBbt:00001102,ventral cord,vnc	1.0	Leveraging the lineage-based functional organization of the VNC, we investigated the developmental and molecular basis of behavior by focusing on lineage-specific functions of the homeodomain transcription factor, Unc-4.
PMC7156266	Abstract	1	4	lineage	FBbt:00048923	lineage NB1-2 neuron	lineage 1 neuron,FBbt:00048923	0.863726019859314	We found that Unc-4 functions in lineage 11A to promote cholinergic neurotransmitter identity and suppress the GABA fate.
PMC7156266	Abstract	1	5	lineage	FBbt:00048923	lineage NB1-2 neuron	lineage 1 neuron,FBbt:00048923	0.863726019859314	In lineage 7B, Unc-4 promotes proper neuronal projections to the leg neuropil and a specific flight-related take-off behavior.
PMC7156266	Abstract	1	5	neuropil	FBbt:00005139	neuropil	neuropil,FBbt:00005139	1.0	In lineage 7B, Unc-4 promotes proper neuronal projections to the leg neuropil and a specific flight-related take-off behavior.
