	section	paragraph	sentence	text
1	Title	1	1	A genetic, genomic, and computational resource for exploring neural circuit function
2	Abstract	1	1	The anatomy of many neural circuits is being characterized with increasing resolution, but their molecular properties remain mostly unknown.
3	Abstract	1	2	Here, we characterize gene expression patterns in distinct neural cell types of the Drosophila visual system using genetic lines to access individual cell types, the TAPIN-seq method to measure their transcriptomes, and a probabilistic method to interpret these measurements.
4	Abstract	1	3	We used these tools to build a resource of high-resolution transcriptomes for 100 driver lines covering 67 cell types, available at http://www.opticlobe.com.
5	Abstract	1	4	Combining these transcriptomes with recently reported connectomes helps characterize how information is transmitted and processed across a range of scales, from individual synapses to circuit pathways.
6	Abstract	1	5	We describe examples that include identifying neurotransmitters, including cases of apparent co-release, generating functional hypotheses based on receptor expression, as well as identifying strong commonalities between different cell types.
7	Abstract	2	1	In the brain, large numbers of different types of neurons connect with each other to form complex networks.
8	Abstract	2	2	In recent years, researchers have made great progress in mapping all the connections between these cells, creating ‘wiring diagrams’ known as connectomes.
9	Abstract	3	1	However, charting the connections between neurons does not give all the answers as to how the brain works; for example, it does not necessarily reveal the nature of the information two connected cells exchange.
10	Abstract	3	2	Assessing which genes are switched on in different neurons can give insight into neuronal properties that are not obvious from physical connections alone.
11	Abstract	4	1	To fill that knowledge gap, Davis, Nern et al. aimed to measure the genes expressed in a well-characterized network of neurons in the fruit fly visual system.
12	Abstract	4	2	First, 100 fly strains were established, each carrying a single type of neuron colored with a fluorescent marker.
13	Abstract	4	3	Then, a biochemical approach was developed to extract the part of the cell that contains the genetic code from the neurons with the marker.
14	Abstract	4	4	Finally, a statistical tool was used to assess which genes were on in each type of neurons.
15	Abstract	4	5	This led to the creation of a database that shows whether 15,000 genes in each neuron type across 100 fly strains were switched on.
16	Abstract	5	1	Combining this information with previous knowledge about the flies’ visual system revealed new information: for example, it helped to understand which chemicals the neurons use to communicate, and whether certain cells activate or inhibit each other.
17	Abstract	6	1	The work by Davis, Nern et al. demonstrates how genetic approaches can complement other methods, and it offers a new tool for other scientists to use in their work.
18	Abstract	6	2	With more advanced genetic methods, it may one day become possible to better grasp how complex brains in other organisms are organized, and how they are disrupted in disease.
19	[Introduction]	1	1	Thank you for submitting your article "A genetic, genomic, and computational resource for exploring neural circuit function" for consideration by eLife.
20	[Introduction]	1	2	Your article has been reviewed by three peer reviewers, and the evaluation has been overseen by a Reviewing Editor and K VijayRaghavan as the Senior Editor.
21	[Introduction]	1	3	The reviewers have opted to remain anonymous.
22	[Introduction]	2	1	The reviewers have discussed the reviews with one another and the Reviewing Editor has drafted this decision to help you prepare a revised submission.
23	[Introduction]	3	1	The three reviewers are in agreement that this work is a very valuable contribution to the literature and that it should be published in eLife.
24	[Introduction]	3	2	I am also of the same opinion.
25	[Introduction]	3	3	However, they all three raised issue that will require some textual changes, better explanations of the modeling.
26	[Introduction]	3	4	Here is a summary of the most important issues.
27	[Introduction]	4	1	Summary
28	[Introduction]	5	1	In this manuscript Davis et al. have used different enhancer combinations to mark diverse subtypes of cells, mostly from the visual system, and conduct RNA-seq analysis on isolated nuclei to assign gene expression patterns observed in 67 cell types.
29	[Introduction]	5	2	The authors first refined the INTACT method, which helps to isolate nuclei specified by a GAL4 expression pattern.
30	[Introduction]	5	3	In the new method (TAPIN) the authors add tandem affinity purification to the nucleus isolation pipeline.
31	[Introduction]	5	4	The authors show that this modification increases sensitivity of detection of transcripts and specificity of isolated nuclei compared to the previous methodology.
32	[Introduction]	5	5	The authors convert the often-graded expression levels to two normal distributions of binary on-off states.
33	[Introduction]	5	6	They then convert this data to probability of expression scores by using mathematical modeling.
34	[Introduction]	5	7	The accuracy of this modelling approach is demonstrated in multiple examples.
35	[Introduction]	5	8	The authors compare the expression patterns that they obtained to the recently available single cell sequencing data sets.
36	[Introduction]	5	9	Interestingly very few expression patterns directly map to a single cell transcription profile.
37	[Introduction]	5	10	Nevertheless, this comparison helped to determine the identity of many single cell sequencing clusters obtained in previous studies.
38	[Introduction]	5	11	Finally, the authors analyze the expression patterns of neurotransmitters and their receptors.
39	[Introduction]	5	12	By combining high resolution connectome obtained by EM with the expression patterns obtained by TAPIN and INTACT methods the authors find multiple wiring paradigms in the Drosophila brain.
40	[Introduction]	6	1	The authors try to find relationships between cell types.
41	[Introduction]	6	2	They unsurprisingly find grouping of cell types with similar developmental origins and structures.
42	[Introduction]	6	3	They compare their results to published single-cell sequencing datasets from the optic lobes and the brain and confirmed that the single-cell datasets consisted of clusters that include more than one cell types, which was already known based on the number of clusters itself.
43	[Introduction]	6	4	They manage to annotate and correct some of the single-cell clusters, showing that bulk transcriptomes can be used to interpret single-cell clusters.
44	[Introduction]	6	5	They go on to analyze neurotransmitter and neurotransmitter receptor expression in different cell types, before finally trying to interpret connectomic data in the light of their transcriptomes.
45	[Introduction]	7	1	Major comments:
46	[Introduction]	8	1	- There are issues that need to be discussed more openly.
47	[Introduction]	8	2	For instance, in many instances the RNA expression pattern of a cell type is referred to a cells expression pattern.
48	[Introduction]	8	3	This would assume that the expression pattern is homogenous in a given cell type.
49	[Introduction]	8	4	This is a big assumption.
50	[Introduction]	8	5	The fact that the TAPIN expression patterns do not directly correlate with the single cell expression profiles can indicate that the cells from a cell type can have divergence in their expression profile.
51	[Introduction]	8	6	This has implications about the cell types that show multiple neurotransmitters.
52	[Introduction]	8	7	This issue should be more clearly discussed.
53	[Introduction]	9	1	- Another issue is that the authors use the RNA levels and protein levels interchangeably, disregarding the possibility of post transcriptional regulation (This is more pronounced when they use the RNA expression data about cell adhesion molecules in Figure 4-figure supplement 1).
54	[Introduction]	9	2	This should also be addressed.
55	[Introduction]	10	1	- The extent to which single cell sequencing clusters can be compared to TAPIN profiles should be better discussed.
56	[Introduction]	10	2	The TAPIN profiles are RNA expression of cells that share one or two enhancers (by the use of GAL4 or splitGAL4).
57	[Introduction]	10	3	Unbiased clustering of single cell sequencing data is based on multiple principle components.
58	[Introduction]	10	4	The manuscript compares the two approaches and suggest one is better than the other.
59	[Introduction]	10	5	These are complementary approaches and the data are different and difficult to compare (due to possible RNA expression heterogeneity within cell types).
60	[Introduction]	10	6	This is reflected in the fact that mid-level hierarchical clustering was not well supported by the TAPIN data (Figure 4A) whereas discrete clustering can be observed in single cell sequencing data.
61	[Introduction]	10	7	The best experiment to address this would be to do single cell sequencing on TAPIN isolated population of neurons nuclei for one or two cell types.
62	[Introduction]	10	8	I am not requiring this but they should discuss this better
63	[Introduction]	11	1	- Although this is a resource paper, the resource is not accessible to people with limited programming or computational skills.
64	[Introduction]	11	2	In the web portal opticlobe.com, a simple heatmap can be generated based on the user input.
65	[Introduction]	11	3	This visualization can hardly reflect the depth and complexity of the data.
66	[Introduction]	11	4	Please refer to https://gtexportal.org/home/ as a reference to add more tools for general users.
67	[Introduction]	12	1	- The description of the mixture model is confusing.
68	[Introduction]	12	2	The lowercase and uppercase p is mixed for different probabilistic events.
69	[Introduction]	12	3	Do they denote different functions?
70	[Introduction]	12	4	Conditioned on "bimodal", the posterior probability equation in subsection “Inferring expression state from transcript abundance” is very confusing.
71	[Introduction]	12	5	Did you integrate out the p(bimodal)?
72	[Introduction]	12	6	If not, how is the Bayesian rule applied here?
73	[Introduction]	12	7	The math equations are not well defined.
74	[Introduction]	13	1	- On the model selection section, the first equation used sums of probability, the second equation uses a log sum of probability.
75	[Introduction]	13	2	Is there a reference or proof for such modeling choices from STAT or machine learning literature?
76	[Introduction]	14	1	- The mixture model is well studied in both Bayesian and Frequentist framework, how does this approach compare to the standard Bayesian Gaussian mixture model?
77	[Introduction]	15	1	- Figure 3C is the main result of the mixture model and the lower heatmap showed about HALF of the cells in the matrix are read and the other half is blue across all the genes and samples.
78	[Introduction]	15	2	This is likely due to an artifact of the customized mixture modeling.
79	[Introduction]	15	3	Since most of the results in the manuscript depend on the probability estimated from the mixture model, it is crucial to show mathematically that the model is correct.
80	[Introduction]	16	1	The reviewers raise several important points.
81	[Introduction]	16	2	By construction, our approach aims to profile the bulk expression of all the cells in a given GAL4 or split-GAL4 pattern.
82	[Introduction]	16	3	Most of the driver lines we used were selected to be primarily expressed in cells with shared anatomical properties that distinguish these cells from the cells of other types.
83	[Introduction]	16	4	In particular, many of the optic lobe cell types we profile are anatomically very well defined and have long been accepted as distinct cell types in the literature on the fly visual system.
84	[Introduction]	16	5	While we go through extensive efforts to characterize the specificity of the driver patterns by anatomy, it is true that the cells in such a pattern could exhibit different profiles.
85	[Introduction]	16	6	In a few cases such heterogeneity is expected: As we discuss in the text and detail in Supplementary file 1A, some of our driver lines combine related cell types or include “contaminants” (cells of other types) in addition to the targeted neurons.
86	[Introduction]	16	7	In addition, as we now explicitly discuss, cells without obvious anatomical differences at the light microscopy level could still include hidden subtypes with distinct gene expression (such as the pale and yellow subtypes of R7 and R8 photoreceptor neurons with different rhodopsin expression but similar anatomy).
87	[Introduction]	16	8	Finally, there are of course sources of variation in gene expression other than cell type differences.
88	[Introduction]	16	9	For example, even within the exact same cell, the transcriptome can vary over time, e.g. due to circadian rhythms or, over a different time-scale, aging (Davie et al., 2018).
89	[Introduction]	17	1	While we sometimes refer to a cell type’s expression as a cell’s expression, we now clarify this wording in the text: “(For simplicity, we will hereon refer to cell type as just cell.
90	[Introduction]	17	2	This is not meant to exclude the possibility of heterogeneity within the individual cells of a profiled population.)”
91	[Introduction]	18	1	For many applications, combined data for populations of related cell types can be useful, since such cells are likely to share many molecular properties.
92	[Introduction]	18	2	For example, we profile driver lines expressed in motion-sensitive T4/T5 neurons that combine eight anatomically distinct subpopulations.
93	[Introduction]	18	3	As we highlight in Figure 4D-H, using drivers that express in different subsets of these eight cell types, we can identify clear differences between the transcriptomes of some subtypes.
94	[Introduction]	18	4	Nevertheless, most molecular properties of T4/T5 cells appear to be shared across the different subpopulations.
95	[Introduction]	18	5	Recently, the Zipursky lab has sorted T4 and T5 cells and used single cell RNA-seq to more comprehensively characterize T4/T5 subtypes (Kurmangaliyev et al., eLife 2019).
96	[Introduction]	18	6	This scRNA analysis identified eight T4/T5 subclusters, exactly in line with the predictions from anatomy.
97	[Introduction]	18	7	This work also confirms our finding of Tfap2 and klg as markers for different T4/T5 subsets and supports the general similarity of the eight subtypes.
98	[Introduction]	19	1	To the reviewers specific point of how heterogeneity within cell types might explain differences between TAPIN and single cell profiles, we would remind the reviewer that we compared our TAPIN profiles to the average profile of single cells within each cluster, not to individual single cells.
99	[Introduction]	19	2	And so, any heterogeneity within a single cell cluster would be averaged out in the comparison to TAPIN-seq profiles.
100	[Introduction]	19	3	In fact, the resolution of the single cell maps that we analyzed (e.g. collapsing the eight T4/T5 subtypes into a single cluster) makes it unlikely that they resolved many named cell types into previously unknown distinct molecular subtypes, and the authors of those maps make no such claims.
101	[Introduction]	20	1	Finally, we agree that, using only a given bulk profile, it is not possible to formally rule out that two neurotransmitter markers (or, for that matter, any other combination of transcripts) that appear co-expressed are actually present in distinct, non-overlapping sets of cells.
