	tag	label	sentence	text
1	figure	Extended Data Figure 1:	1	Batch effect removal and biological significance of the adult clusters a.
2	figure	Extended Data Figure 1:	2	The proportions of UMIs from mitochondrial genes per cell (n = number of cells in each library, indicated on the right) and the total number of cells passing filters in each of the 15 libraries comprising the adult dataset.
3	figure	Extended Data Figure 1:	3	Names indicated correspond to the names in the Seurat object provided (Adult.rds, GSE142787).
4	figure	Extended Data Figure 1:	4	Boxplots display the first, second and third quartiles.
5	figure	Extended Data Figure 1:	5	Whiskers extend from the box to the highest or lowest values in the 1.5 inter-quartile range, and outlying datapoints are represented by a dot. b, Origin of the cells in the final adult clusters, colored as in (a).
6	figure	Extended Data Figure 1:	6	Green arrows: clusters whose unique library distribution can be explained by variable contamination from surrounding tissues (cluster 3 is photoreceptors, 112 is likely Kenyon Cells from the central brain) or the number of lamina neuropils dissociated (clusters 107, 108, 109 are lamina neurons).
7	figure	Extended Data Figure 1:	7	Red arrows: clusters likely enriched in low quality transcriptomes, as they are enriched in cells from libraries with high number of mitochondrial genes (38, 120, 192) or high number of cells sequenced (102, likely corresponding to multiplets).
8	figure	Extended Data Figure 1:	8	Brackets: Glial clusters, some of them enriched in libraries with high number of mitochondrial genes as ambient RNA is more similar to RNA from glial vs. neuronal cells (Extended Data Fig.2). c, Number of clusters obtained with different pairs of clustering parameters.
9	figure	Extended Data Figure 1:	9	Red rectangle: pair of parameters used. d, Left: Legend as in Fig.1C.
10	figure	Extended Data Figure 1:	10	Right: Number of isolated neuronal type transcriptomes matching to 1–5 of our adult clusters, for each pair of parameters in (c), which we used as a measure of the biological relevance of our clusters.
11	figure	Extended Data Figure 1:	11	Matching was defined by the presence of a correlation gap above 0.05 (Methods).
12	figure	Extended Data Figure 1:	12	We took into account any correlation gap between the 6 best correlated clusters, since similar cell types or overclustering can affect the size of the first correlation gap as illustrated on the left graphs.
13	figure	Extended Data Figure 1:	13	Red rectangle: pair of parameters used. e, tSNE visualization of the adult optic lobe single-cell transcriptomes, using 120 principal components calculated on the log-normalized integrated gene expression.
14	figure	Extended Data Figure 1:	14	Cell colors indicate the cluster they belonged to before we merged artificially split clusters (red circles, Methods). f, Heatmap showing scaled log-normalized non-integrated expression of the top20 cluster markers between the merged clusters.
15	figure	Extended Data Figure 1:	15	Merged clusters had almost indistinguishable gene expression patterns, but often differed by their proportions of UMI from mitochondrial genes per cell or the expression levels of the genes highlighted in red, which are enriched in the “ambient RNA cluster” 192 (see also Extended Data Fig.3).
16	figure	Extended Data Figure 2:	1	Identification of neuronal and glial clusters. a, Pearson correlation between the average log-normalized non-integrated expression of the top10 cluster markers of the adult dataset clusters (x-axis) and the transcriptome of isolated Repo+ (glial marker) or Elav+ (neuronal marker) populations.
17	figure	Extended Data Figure 2:	2	LQ = clusters containing a proportion of cells with features of lower quality transcriptomes. b, Violin plots of features tending to be higher (proportions of UMI from mitochondrial genes) or lower (number of UMIs or genes per cell) in low quality cells 47,48. c, Heatmap showing the scaled log-normalized non-integrated expression of the top5 cluster markers of the adult dataset.
18	figure	Extended Data Figure 2:	3	The first 5 neuronal adult clusters (1 to 6, cluster 1 and 2 having been merged) are plotted for reference as they clearly have specific gene expression patterns.
19	figure	Extended Data Figure 2:	4	Clusters 38, 85, 102 and 120 present much less defined gene expression patterns and likely contain low quality neuronal transcriptomes (see also Extended Data Fig.1).
20	figure	Extended Data Figure 2:	5	Clusters 188 and 189 could be further separated in two groups with different gene expression patterns, as illustrated by the dashed line in the insert.
21	figure	Extended Data Figure 2:	6	Cluster 191 expresses several markers found in no other clusters and likely correspond to neither glia nor optic-lobe neuron.
22	figure	Extended Data Figure 2:	7	Cluster 192 expresses mainly low levels of glia-specific genes, without specific markers.
23	figure	Extended Data Figure 2:	8	It likely corresponds to ambient RNA, which would be enriched in RNA from burst glial cells.
24	figure	Extended Data Figure 3:	1	Identification of the adult neuronal clusters. a, Pearson correlation between the average log-normalized non-integrated expression of the top10 cluster markers of the adult dataset clusters (x-axis) and the transcriptome of isolated neurons18,20.
25	figure	Extended Data Figure 3:	2	We represented Dm3, Tm9, T4 and T5 before their split into Dm3a/b, Tm9v/d, T4/T5ab and T4/T5cd.
26	figure	Extended Data Figure 3:	3	When two transcriptomes were published for a given neuronal type, the one presenting the highest correlation gap is displayed in this figure.
27	figure	Extended Data Figure 3:	4	R1–8: average gene expression of all photoreceptors20.
28	figure	Extended Data Figure 3:	5	KC: Kenyon Cells, cluster 112 therefore likely corresponds to contamination from the central brain. b, Legend as in (a).
29	figure	Extended Data Figure 3:	6	We indicated several matching clusters to highlight the high similarity between LC cells transcriptomes, which explains the lower correlation gaps observed for these neurons. c, Left: Legend as in (a).
30	figure	Extended Data Figure 3:	7	Right: mixture modelling of Pm3 markers19 (y axis).
31	figure	Extended Data Figure 3:	8	Clusters are spread on the x-axis, with the probability of expression of the markers figured by the size of the black dots.
32	figure	Extended Data Figure 4:	1	Marker gene expressions in TmY4, TmY8, TmY14, LC12 and LC17 neurons. a, Expression pattern of TmY4-LexA (green) in the adult optic lobe (n=7 brains) with anti-NCad immunostaining (white).
33	figure	Extended Data Figure 4:	2	The LexA line shows weak or no expression in the most anterior medulla region. b-d, Expression pattern of TmY4-LexA (green) in the adult optic lobe with anti-Dichaete (D) (b), anti-Vvl (c) and anti-Toy (d) immunostainings (magenta), n=15 neurons for each.
34	figure	Extended Data Figure 4:	3	TmY4 cell bodies express Dichaete but not Vvl or Toy. e, Sparse labeling of cell types (anti-FLAG, green) expressing CG42548 in the adult optic lobe using MCFO and immunostained with anti-Brp (white) and anti-Vvl (magenta).
35	figure	Extended Data Figure 4:	4	A TmY8 neuron (n=4 neurons) is labeled (arborized layers shown by arrows) and expresses Vvl.
36	figure	Extended Data Figure 4:	5	Adult flies were heat-shocked for 5 minutes and dissected after 6 days. f-h, Expression pattern of R24F10-Gal4 (green) in late L3 optic lobes with anti-NCad (white, f), anti-Dac (magenta, f), anti-Dichaete (magenta, g) and anti-Toy (magenta, h) immunostainings, n=15 neurons for each.
37	figure	Extended Data Figure 4:	6	R24F10-Gal4 is expressed in TmY14 neurons during larval stage (unpublished data).
38	figure	Extended Data Figure 4:	7	TmY14 neurons express Toy (h) but not Dac or D (f-g). i, Expression pattern of LC12-Gal4 (green) in the adult optic lobe (n=7 brains) with anti-NCad immunostaining (magenta) showing processes in lobula layers 2–4, and a projection to an optic glomerulus in the posterior ventrolateral protocerebrum (PVLP) of the central brain (white outline).
39	figure	Extended Data Figure 4:	8	The cell bodies of LC12 are located in the lateral cell body rind, the region separating the optic lobe and central brain. j, Expression pattern of beat-Ic (green) in the adult optic lobe (n=6 brains) with anti-NCad immunostaining (magenta) showing a strong expression profile in the optic glomerulus corresponding to LC12 in the PVLP (white outline). k-m.
40	figure	Extended Data Figure 4:	9	Expression pattern of LC12-Gal4 (green) in the adult optic lobes with anti-Cut (k, magenta-top panel, grey-bottom panel), anti-Acj6 (l, magenta-top panel, grey-bottom panel), and anti-Toy (m, magenta-top panel, grey-bottom panel) immunostainings, n=77 neurons.
41	figure	Extended Data Figure 4:	10	All LC12 cells bodies are cut+, Acj6+ and toy+.
42	figure	Extended Data Figure 4:	11	Red line delineates LC12 cell body location. n, Expression pattern of LC17-Gal4 (green) in the adult optic lobe (n=5 brains) with anti-NCad immunostaining (magenta) showing processes in lobula layers 2–5.
43	figure	Extended Data Figure 4:	12	LC17 project to the PVLP optic glomerulus (white outline) adjacent to that of LC12 (asterisk, see also i). o, Expression pattern of Kn-Gal4 (green) in the adult optic lobe (n=3 brains) with anti-NCad immunostaining (magenta) showing a strong expression profile in the optic glomerulus corresponding to LC17 in the PVLP (white outline).
44	figure	Extended Data Figure 4:	13	Note its absence from LC12 neurons (asterisk). p-q, Expression pattern of LC17-Gal4 (green) in the adult optic lobes with anti-Acj6 (p, magenta-top panel, grey-bottom panel) and anti-Toy (q, magenta-top panel, grey-bottom panel) immunostainings, n=62 neurons.
45	figure	Extended Data Figure 4:	14	All LC17 cells bodies are Acj6+ and toy+.
46	figure	Extended Data Figure 4:	15	Red line delineates LC17 cell body location (p-q).
47	figure	Extended Data Figure 4:	16	Me, medulla; Lo, lobula; LoP, lobula plate.
48	figure	Extended Data Figure 4:	17	Scale bars correspond to 25 μm in a-i, j, n, o and to 15 μm in k-m and p-q.
49	figure	Extended Data Figure 5:	1	Overview of the final adult clusters. a, Hierarchical clustering tree of our adult clusters, based on the average log-normalized non-integrated expression of the 2,000 most variable genes of the dataset (the genes used to define the unsupervised clusters, Methods).
