	section	paragraph	sentence	text
1	Title	1	1	Distributed control of motor circuits for backward walking in Drosophila
2	Abstract	1	1	How do descending inputs from the brain control leg motor circuits to change how an animal walks?
3	Abstract	1	2	Conceptually, descending neurons are thought to function either as command-type neurons, in which a single type of descending neuron exerts a high-level control to elicit a coordinated change in motor output, or through a population coding mechanism, whereby a group of neurons, each with local effects, act in combination to elicit a global motor response.
4	Abstract	1	3	The Drosophila Moonwalker Descending Neurons (MDNs), which alter leg motor circuit dynamics so that the fly walks backwards, exemplify the command-type mechanism.
5	Abstract	1	4	Here, we identify several dozen MDN target neurons within the leg motor circuits, and show that two of them mediate distinct and highly-specific changes in leg muscle activity during backward walking: LBL40 neurons provide the hindleg power stroke during stance phase; LUL130 neurons lift the legs at the end of stance to initiate swing.
6	Abstract	1	5	Through these two effector neurons, MDN directly controls both the stance and swing phases of the backward stepping cycle.
7	Abstract	1	6	These findings suggest that command-type descending neurons can also operate through the distributed control of local motor circuits.
8	Abstract	2	1	Drosophila Moonwalker Descending Neurons (MDNs) alter leg motor circuit dynamics so that the fly walks backwards.
9	Abstract	2	2	The authors identify two MDN effector neurons that directly control the stance and swing phases of the backward stepping cycle, indicating distributed control of local motor circuits via command-type descending neurons.
10	Introduction	1	1	The simple act of walking appears effortless, yet involves the exquisitely timed and scaled activation of multiple muscles in each leg.
11	Introduction	1	2	The motor circuits that produce these muscle movements are controlled by descending inputs from the brain and sensory feedback from the legs [1], [2].
12	Introduction	1	3	The descending inputs modulate the overall locomotor pattern, effecting changes in direction or pace in accordance with the animal’s behavioral goals [3], [4].
13	Introduction	1	4	Sensory feedback, including both external and proprioceptive signals, coordinate progression through the stepping cycle and make the fine adjustments needed to adapt to a varying terrain [5].
14	Introduction	1	5	While this overall organization is now well established, we still have only very limited understanding of how such descending and peripheral inputs control locomotor circuits [6].
15	Introduction	1	6	Determining how descending and peripheral inputs control motor circuits for walking thus remains an important open question in basic neuroscience, with the potential to inform approaches in human therapy [7] and robotics [8].
16	Introduction	2	1	One of the most striking descending controls of leg motor circuits effects a transition from forward to backward walking.
17	Introduction	2	2	Virtually all animals are capable of walking backwards, albeit with varying degrees of elegance.
18	Introduction	2	3	The most obvious change in leg kinematics in backward walking is the phase switch in leg movements-from the leg moving forward in swing phase and backward in stance phase, to forward in stance phase and backward in swing phase.
19	Introduction	2	4	Yet backward walking involves much more than just a simple phase switch, as the amplitude and speed of movement at each joint must also be altered for smooth backward propulsion [9], [10].
20	Introduction	2	5	Additionally, for animals with multiple pairs of legs, the hindlegs rather than the forelegs are now the first to encounter the oncoming terrain.
21	Introduction	2	6	The transition to backward walking thus provides an excellent paradigm to explore the more general question of how descending inputs from the brain make the myriad adjustments in motor circuits necessary to effect a smooth and coordinated change in walking direction.
22	Introduction	3	1	Here we begin to investigate the descending control of locomotor circuits for backward walking in Drosophila.
23	Introduction	3	2	Flies, like many other animals, retreat if they perceive a threat or obstacle in the path ahead.
24	Introduction	3	3	These sensory cues are believed to act primarily through a single class of descending neurons, called the Moonwalker Descending Neurons (MDNs), which act as command-type neurons for backward walking [11].
25	Introduction	3	4	Flies with genetically silenced MDNs are unable to walk backwards when they encounter a physical obstacle.
26	Introduction	3	5	Conversely, freely roaming flies walk backwards if the MDNs are artificially activated [11].
27	Introduction	3	6	MDNs receive input from neurons conveying mechanosensory cues [12] (representing a possible obstacle) and from visual neurons that detect a looming stimulus [13] (a potential threat).
28	Introduction	3	7	The MDNs are also present in larvae, where they mediate backward crawling [14].
