	tag	label	sentence	text
1	figure	Figure 1	1	The Dorsal Accessory Calyx of the Drosophila melanogaster Mushroom Body as Defined by the Claw-Shaped Dendrites of the α/βp Kenyon Cells (A) A schematic of the Drosophila brain shows three types of Kenyon cell associated with the different mushroom body calyces: the α/βp Kenyon cells (dark gray, left) extend their claw-shaped dendrites in the dorsal accessory calyx (dACA); the α/βs (medium gray, right)—as well as the α’/β’ap, α’/β’m, and γmain Kenyon cells (not depicted)—extend their claw-shaped dendrites in the main calyx (CA); and the γd Kenyon cells (light gray, left) extend their claw-shaped dendrites in the ventral accessory calyx (vACA).
2	figure	Figure 1	2	All Kenyon cells extend their axons along one or two lobes (arrowheads).
3	figure	Figure 1	3	(B and C) A single α/βp (B) or α/βs (C) Kenyon cell (white) of the mushroom body (red) was photo-labeled; (B) the photo-labeled α/βp Kenyon cell extends claw-shaped dendritic terminals (arrows) in the dACA (white dashed outline), but not in the vACA (white dashed outline) or CA (not outlined); (C) the photo-labeled α/βs Kenyon cell extends claw-shaped dendritic terminals (arrows) in the CA (white dashed outline) but not in the dACA or the vACA (not outlined).
4	figure	Figure 1	4	(D) The dACA is loose and irregularly shaped, but its core can be visualized in the red channel.
5	figure	Figure 1	5	(E) α/βp Kenyon cells (n = 13) form smaller claws than the α/βs Kenyon cells (n = 12).
6	figure	Figure 1	6	The following genotypes were used in this figure: (B) yw/yw;MB247-DsRedunknown,UAS-C3PA-GFPunknown/UAS-SPA-GFPattP40;UAS-C3PA-GFPattP2,UAS-C3PA-GFPVK00005,UAS-C3PA-GFPVK00027/MB371C-splitGAL4 [R13F02-GAL4ADVK00027,R85D07-GAL4DBDattP2] and (C) yw/yw;MB247-DsRedunknown,UAS-C3PA-GFPunknown/R52H09-GAL4ADattp40;UAS-C3PAattp2,UAS-C3PAVK00005,UAS-C3PAVK00027/MB185B-splitGAL4 [R52H09-GAL4ADattP40, R18F09-GAL4DBDattP2].
7	figure	Figure 1	7	Scale bars are 20 μm (B and C) and 10 μm (D).
8	figure	Figure 2	1	Identification of Neurons Projecting to the dACA Using En Masse Photo-labeling (A) A schematic of the Drosophila brain shows the seven clusters of neurons identified by photo-labeling the dACA of the mushroom body.
9	figure	Figure 2	2	(B and C) All neurons—except for Kenyon cells (red)—express PA-GFP (light green) showing weak fluorescence in structures located on the anterior (B) and posterior (C) sides of the brain.
10	figure	Figure 2	3	(C) The dACA is innervated by the α/βp Kenyon cells—and no other Kenyon cells—and is clearly visible in the red channel, forming an irregular shape on the dorsal-anterior side of the CA; (inset) the region outlined by the white dashed line was targeted for photo-labeling.
11	figure	Figure 2	4	(D and E) Upon photo-activation of PA-GFP in the dACA, seven clusters of photo-labeled neurons (bright green) are clearly distinguishable in different brain regions located on both the anterior (D) and posterior (E) sides of the brain.
12	figure	Figure 2	5	The location of these clusters was defined based on the low background fluorescence visible in the unlabeled remaining neurons that were not photo-labeled but that express PA-GFP (light green).
13	figure	Figure 2	6	(F) This procedure recovered a total of 71 neuronal cell bodies (71 ± 22; n = 22) in seven different clusters located near or in the antennal lobe (AL), optic lobe (OL), anterior ventral lateral protocerebrum (AVLP), lateral horn (LH), superior lateral protocerebrum (SLP), superior medial protocerebrum (SMP), and posterior lateral protocerebrum (PLP).
14	figure	Figure 2	7	The following genotype was used in this figure: yw/yw;MB247-DsRedunkown,UAS-C3PA-GFPunkown/MB247-GAL80unkown,UAS-SPA-GFPattP40;UAS-C3PA-GFPattP2,UAS-C3PA-GFPVK00005,UAS-C3PA-GFPVK00027/N-Synaptobrevin-GAL42–1.
15	figure	Figure 2	8	Scale bars are 50 μm in all panels.
16	figure	Figure 3	1	Anatomical Screen to Identify Transgenic Lines Driving Expression in the Neurons Projecting to the dACA (A) A schematic of the Drosophila brain shows how transgenic lines driving expression in potential dACA input neurons were identified by photo-labeling; the schematic shows the identification of a transgenic line driving expression in the PLPPNs as an example.
17	figure	Figure 3	2	(B and C) First, the expression patterns of each of the transgenic lines available in the FlyLight database were inspected: transgenic lines clearly driving expression strongly (B; R19H07-GAL4) or weakly (C; R44H11-GAL4) in neurons projecting to or from the dACA (white dashed outline) were selected for further investigation.
18	figure	Figure 3	3	These images were obtained from the FlyLight website.
19	figure	Figure 3	4	(D and E) The dACA (white dashed outline) of the mushroom body (red) was visualized in the selected lines, here R19H07-GAL4, and targeted for photo-activation by designing a mask that exposed the outlined region to high-energy light; transgenic lines driving expression in a few neurons extending clear axonal terminals in the dACA (E, arrow) were selected for further investigation.
20	figure	Figure 3	5	(F and G) Before photo-labeling, weak fluorescence is visible in many different neurons (F), and upon photo-labeling, the neurons projecting to the dACA (white dashed outline) are visible (G).
21	figure	Figure 3	6	The following genotype was used in (D)–(G): yw/yw;MB247-DsRedunknown,UAS-C3PA-GFPunknown/UAS-C3PA-GFPattP40;UAS-C3PAattP2,UAS-C3PAVK00005,UAS-C3PAVK00027/R19H07-GAL4attP2.
22	figure	Figure 3	7	Scale bars are 100 μm (B and C), 10 μm (D and E), and 50 μm (F and G).
23	figure	Figure 4	1	LOPN Connecting the Lobula to the dACA (A) A schematic of the Drosophila brain shows an α/βp Kenyon cell input neuron—LOPN (blue)—projecting from the lobula (LO) to the dACA.
24	figure	Figure 4	2	(B and C) LOPN (bright green) was identified in the screen using two different transgenic lines (B: R44H11-GAL4 and C: R72D07-GAL4); the neurons photo-labeled in each line show an overall similar morphology.
25	figure	Figure 4	3	(D and E) LOPN was photo-labeled using either the R44H11-GAL4 (D) or R72D07-GAL4 (E) transgenic lines; the samples were fixed, immuno-stained (nc82 antibody, blue), and imaged.
26	figure	Figure 4	4	The photo-labeled neurons show an overall similar morphology: their somata are located near the optic lobe; they extend dendritic terminals in a small region of the LO; and they extend axonal terminals in the dACA and the SLP.
27	figure	Figure 4	5	(F and G) A LOPN-like neuron was identified in the hemibrain connectome: (F) this neuron projects from the LO to the dACA and the SLP and (G) its axonal terminals innervate the dACA, but not the CA or the vACA.
28	figure	Figure 4	6	The images in (F) and (G) were taken directly from the Neuprint platform.
29	figure	Figure 4	7	The neuropil domains are defined by Neuprint platform.
30	figure	Figure 4	8	The following genotypes were used in this figure: (B and D) yw/yw;MB247-DsRedunknown,UAS-C3PA-GFPunknown/UAS-C3PA-GFPattP40;UAS-C3PA-GFPattP2,UAS-C3PA-GFPVK00005,UAS-C3PA-GFPVK00027/R44H11-GAL4attP2 and (C and E) yw/yw;MB247-DsRedunknown,UAS-C3PA-GFPattP40/UAS-C3PA-GFPunknown;UAS-C3PA-GFPattP2,UAS-C3PA-GFPVK00005,UAS-C3PA-GFPVK00027/R72D07-GAL4-GFPattP2.
31	figure	Figure 4	9	Scale bars are 20 μm (B and C) and 100 μm (D and E).
32	figure	Figure 5	1	Frequency of Connections between the α/βp Kenyon Cells and Their Input Neurons (A) A schematic of the Drosophila brain shows how the frequency of connections between the α/βp Kenyon cells (red) and a given input neuron (green), here LOPN, was measured.
33	figure	Figure 5	2	(B–G) A given input neuron was photo labeled (bright green), and a randomly chosen α/βp Kenyon cell was dye filled (red).
34	figure	Figure 5	3	The total number of claws formed by the dye-filled Kenyon cell was counted, and claws connecting to the axonal terminals of the photo-labeled neuron were detected (arrows).
35	figure	Figure 5	4	Such connections were found for LOPN (B and C; n = 27) and PLPPNs (D and E; n = 24), but not for the other neurons identified in this study, such as ALPN2 (F and G; n = 30).
