	tag	label	sentence	text
1	figure	Fig. 1	1	Identification of DskGAL4 neurons that inhibit male courtship. a Experimental design of screening for courtship-inhibiting neurons. b Identification of DskGAL4 and CrzGAL4 that inhibit male courtship when driving UAS-dTrpA1 at 30 °C (red circle) compared to permissive temperature 22 °C (blue square). n = 12 for sNPF-GAL4 and Lk-GAL4, n = 18 for Burs-GAL4, Dh31-GAL4 and Proc-GAL4, n = 20 for SIFaGAL4s, n = 24 for others. ***p < 0.001, Mann–Whitney U test. c Thermogenetic activation of Dsk neurons labeled by another DskGAL4 (attP2) severely inhibits male courtship. n = 24 for each. p < 0.001, Kruskal–Wallis test. ***p < 0.001 and p > 0.1 (n.s.), post hoc Dunn’s multiple comparisons test. d Optogenetic activation of DskGAL4 (attP2) neurons abolishes male courtship. n = 24 for each. p < 0.001, Kruskal–Wallis test. **p < 0.01 and ***p < 0.001, post hoc Dunn’s multiple comparisons test. e Optogenetic activation of DskGAL4 neurons rapidly inhibits male courtship. n = 24 for each. f Courtship inhibition by optogenetic activation of DskGAL4 neurons lasts for more than 10 min after lights off. n = 24. n.s. not significant.
2	figure	Fig. 1	2	Error bars indicate SEM.
3	figure	Fig. 1	3	Source data are provided as a Source Data file
4	figure	Fig. 2	1	Four pairs of Dsk- and fruM-expressing neurons inhibit male courtship. a Expression pattern of DskGAL4 in the central nervous system revealed by anti-GFP (left) and anti-DSK (middle).
5	figure	Fig. 2	2	Representative of eight male flies.
6	figure	Fig. 2	3	Scale bars, 50 μm. b Two pairs of MP1 and two pairs of MP3 neurons are co-labeled by fruLexA driving LexAop-RedStinger (magenta) and DskGAL4 driving UAS-Stinger-GFP (green).
7	figure	Fig. 2	4	Representative of five male brains.
8	figure	Fig. 2	5	Scale bars, 50 μm and 20 μm (zoom-in). c Intersectional strategy to label and manipulate Dsk and fruM co-expressing MP1 and MP3 neurons.
9	figure	Fig. 2	6	Representative of 6 male brains.
10	figure	Fig. 2	7	Scale bars, 50 μm. d Optogenetic activation of intersectional neurons between DskFlp and fruGAL4 abolishes male courtship.
11	figure	Fig. 2	8	Red square indicates test in red light, and gray circle indicates test in dark. n = 24 for each. p < 0.001, Kruskal–Wallis test. ***p < 0.001 and p > 0.99 (n.s.), post hoc Dunn’s multiple comparisons test.
12	figure	Fig. 2	9	Error bars indicate SEM.
13	figure	Fig. 2	10	Source data are provided as a Source Data file
14	figure	Fig. 3	1	Single-neuron labeling and manipulation of Dsk MP neurons. a–f Stochastic labeling of single MP3 (a), two MP3 (b), single MP1a (c and d) and single MP1b (e) neurons.
15	figure	Fig. 3	2	Two MP3, one MP1a and one MP1b neurons are registrated in a standard brain (f).
16	figure	Fig. 3	3	Scale bars, 50 μm. g The frequency of hs-Flp/Y; UAS > stop > CsChrimson-mVenus/+; DskGAL4/+ males with CsChrimson-mVenus expressed in indicated neurons for courters (n = 30, white bars) or non-courters (n = 73, black bars). **p < 0.01, ***p < 0.001 and p = 0.48 (n.s.), chi-square test. n.s. not significant.
17	figure	Fig. 3	4	Source data are provided as a Source Data file
18	figure	Fig. 4	1	Dsk and P1 neurons function antagonistically to regulate male sexual arousal. a Co-activation of Dsk and P1 neurons results in intermediate courtship levels. n = 24, 19, 17, 24, 24, 20, 24, 24, 20, 24, 24, 24, 24, and 24 respectively (from left to right).
19	figure	Fig. 4	2	Genotypes as indicated. p < 0.05, Kruskal–Wallis test. *p < 0.05, **p < 0.01, ***p < 0.001, and p > 0.1 (n.s.) post hoc Dunn’s multiple comparisons test. b, c Dsk and P1 neurons oppositely regulate sleep. n = 60, 56, 57, and 60 respectively. p < 0.001, Kruskal–Wallis test. ***p < 0.001 and p > 0.99 (n.s.), post hoc Dunn’s multiple comparisons test. d, e Spontaneous walking velocity of individual males at permissive temperature (22 °C). n = 24, 24, 36, and 19, respectively. p = 0.07, One-way ANOVA. f–j Dsk and P1 neurons oppositely regulate spontaneous walking velocity. n = 24, 24, 32, and 19, respectively.
20	figure	Fig. 4	3	For overall mean velocity (g): p < 0.001, One-way ANOVA. ***p < 0.001 and p > 0.1 (n.s.), post hoc Tukey’s multiple comparisons test.
21	figure	Fig. 4	4	For mean velocity from 0.5 h to 1.5 h (h): p < 0.001, Kruskal–Wallis test. *p < 0.05 and p > 0.99 (n.s.), post hoc Dunn’s multiple comparisons test.
22	figure	Fig. 4	5	For mean velocity from 12 h to 13 h (i): p < 0.001, One-way ANOVA. ***p < 0.001 and p > 0.1 (n.s.), post hoc Tukey’s multiple comparisons test.
23	figure	Fig. 4	6	For mean velocity from 23 h to 24 h (j): p < 0.001, Kruskal–Wallis test. *p < 0.05 and p > 0.99 (n.s.), post hoc Dunn’s multiple comparisons test. k Representative walking trajectories in a visual-induced walking assay during a 6-min observational time. l, m Activation of Dsk neurons does not affect visual tracking ability or visual-induced walking speed. n = 20, 20, 12, and 18, respectively.
24	figure	Fig. 4	7	For visual tracking performance: p = 0.3265, Kruskal–Wallis test; for walking speed: p = 0.3544, Kruskal–Wallis test. n.s. not significant.
