	section	paragraph	sentence	text
1	Title	1	1	Controlling motor neurons of every muscle for fly proboscis reaching
2	Abstract	1	1	We describe the anatomy of all the primary motor neurons in the fly proboscis and characterize their contributions to its diverse reaching movements.
3	Abstract	1	2	Pairing this behavior with the wealth of Drosophila’s genetic tools offers the possibility to study motor control at single-neuron resolution, and soon throughout entire circuits.
4	Abstract	1	3	As an entry to these circuits, we provide detailed anatomy of proboscis motor neurons, muscles, and joints.
5	Abstract	1	4	We create a collection of fly strains to individually manipulate every proboscis muscle through control of its motor neurons, the first such collection for an appendage.
6	Abstract	1	5	We generate a model of the action of each proboscis joint, and find that only a small number of motor neurons are needed to produce proboscis reaching.
7	Abstract	1	6	Comprehensive control of each motor element in this numerically simple system paves the way for future study of both reflexive and flexible movements of this appendage.
8	[Introduction]	1	1	Thank you for submitting your article "Comprehensive genetic tools to target motor neurons for each muscle of the fly proboscis" for consideration by eLife.
9	[Introduction]	1	2	Your article has been reviewed by three peer reviewers, including Ronald Calabrese as the Reviewing Editor, Senior Editor and Reviewer #2.
10	[Introduction]	2	1	The reviewers have discussed the reviews with one another and the Reviewing Editor has drafted this decision to help you prepare a revised submission.
11	[Introduction]	3	1	Summary:
12	[Introduction]	4	1	This is a co-submission of two papers.
13	[Introduction]	4	2	The goal of the first work is achieving genetic control over motor neurons for every muscle of the Drosophila proboscis, and it is accomplished convincingly.
14	[Introduction]	4	3	The degree of success constructing split Gal4 lines that label only a single bilateral pair of motor neuron corresponding to each muscle of the proboscis is really remarkable, and there is no doubt that these tools will be of tremendous use in defining the neuronal networks responsible for reaching movements of the proboscis and indeed the sucking movements also.
15	[Introduction]	4	4	The anatomical data presented is beautiful.
16	[Introduction]	4	5	After achieving genetic control over motor neurons for every muscle of the Drosophila proboscis, the authors in the second work systematically test every motor neuron that inserts on cuticle (including apodemes) and is thus likely to move the proboscis (rather than inserting on the pharynx and likely involved in sucking) with activation and inactivation experiments.
17	[Introduction]	4	6	By combining kinematics and some biomechanics, the authors arrive at a functional role for each of the proboscis inserting muscle and their motor neurons.
18	[Introduction]	4	7	The data presented is comprehensive and convincing.
19	[Introduction]	4	8	When combined these two papers, very clearly supersede a previous attempt (Schwarz et al., 2017) at such tool development and analysis with several important corrections and many major refinements.
20	[Introduction]	5	1	Essential revisions:
21	[Introduction]	6	1	Upon careful review of these two co-submitted papers (henceforth referred to a Paper 1 and Paper 2) it was the clear consensus of the reviewers that neither paper alone is strong enough for eLife and we would understand if you chose to take the paper(s) elsewhere.
22	[Introduction]	6	2	If on the other hand, you chose to submit the two papers to eLife as one joint paper, then we would ensure that they were sent to the same reviewers, and we think that there is a high chance of publication with a short turn-around.
23	[Introduction]	6	3	No new experiments or analyses are needed.
24	[Introduction]	7	1	If you take the eLife route the papers should be combined and focused.
25	[Introduction]	7	2	One paper will be easier for the authors to present and for the reader to comprehend.
26	[Introduction]	7	3	One could not read the Paper 2 without constantly referring to Paper 1 and the Paper 2 contains much repetition of the findings of Paper 1.
27	[Introduction]	8	1	There are several ways that the papers can be fitted together as detailed in the individual expert reviews.
28	[Introduction]	9	1	One potential path:
29	[Introduction]	10	1	1) The theme presented for Paper 1 of rhythmic vs. discrete behaviors is not effectively exploited nor can it be given the data presented.
30	[Introduction]	10	2	Likewise, the comparison to human reaching in Paper 2 seems premature and focusing the combined single paper on the tools developed and the wonderful anatomy and first-pass functional analysis seems more fruitful.
31	[Introduction]	10	3	The data Figure 9 Paper 1 seems premature and underdeveloped for publication as does the data of Figure 8 Paper 2.
32	[Introduction]	10	4	They are presented is support of the rhythmic vs. discrete behaviors and human reaching themes and are not compelling.
33	[Introduction]	10	5	We recommend removing these figures to focus the paper.
34	[Introduction]	11	1	2) Efficiency with the figures would help.
35	[Introduction]	11	2	Figure 1 of Paper 2 could benefit from comparison directly to Figure 1 of Paper 1.
36	[Introduction]	11	3	Figure 2 of Paper 1 should be supplementary and fits thematically with Paper 2 material.
37	[Introduction]	11	4	The expert reviews suggest other figure fusions and changes.
38	[Introduction]	12	1	3) The data of Figure 7 Paper 1 is reminiscent of data in Schwarz et al., 2017, albeit with corrections but need not be elaborated and could be perhaps combined with Figure 8 Paper 1, which is somewhat underdeveloped.
39	[Introduction]	13	1	4) Discussions can be shortened and in Paper 2 shifted away from detailed comparison to in Schwarz et al., 2017.
40	[Introduction]	14	1	5) All Essential revisions in the expert reviews should all be addressed.
41	[Introduction]	15	1	Reviewer #1:
42	[Introduction]	16	1	In two related papers, McKellar and colleagues present the results of a screen to genetically label and optogenetically activate each motor neuron that innervates muscles in the proboscis of Drosophila melanogaster.
43	[Introduction]	17	1	In the first manuscript, entitled "Comprehensive genetic tools to target motor neurons for each muscle of the fly proboscis", they present genetic driver lines for each motor neuron together with careful anatomy of cuticular structures and musculature.
44	[Introduction]	17	2	Ten proboscis muscles and their associated motor neurons control the position of proboscis parts and are involved in the proboscis extension response (PER), while the remaining eight muscles control the constriction of the pharynx.
45	[Introduction]	17	3	In the course of this work, the authors identify several new muscles.
46	[Introduction]	18	1	Once the authors develop split-Gal4 genetic labels for each motor neuron, they can drive the expression of CsChrimson to activate, or Tetanus toxin to silence, each motor neuron.
47	[Introduction]	18	2	They present the results of these experiments in a second paper entitled "Motor neuron control of Drosophila proboscis reaching".
48	[Introduction]	18	3	The main advances of this work are the resulting genetic tools and a more comprehensive knowledge of how particular muscles insert onto cuticular structures to extend or flex proboscis parts about joints.
49	[Introduction]	18	4	These advances clarify the results of past investigations similar into motor control of the proboscis (in particular, Schwarz, Motor control of Drosophila feeding behavior).
50	[Introduction]	19	1	Across both papers, the images of motor neuron and musculature anatomy are illustrative and quite beautiful.
51	[Introduction]	19	2	Optogenetic activation of individual motor neurons confirms the role each plays in controlling the proboscis segment.
52	[Introduction]	19	3	Together, these data allow the authors to articulate a model of how motor neuron activation and muscle contraction enables the fly to extend its proboscis.
53	[Introduction]	20	1	Although the tools and data in these papers are detailed and valuable, the papers do not effectively show what new insight has been gained relative to previous studies.
54	[Introduction]	20	2	There is also a large experimental gap: while the authors create the necessary genetic tools, they do not investigate the neural control and natural dynamics of proboscis movement beyond artificial optogenetic stimulation.
55	[Introduction]	20	3	In the absence of such data, the main contribution of these papers is the clear and thorough anatomy.
56	[Introduction]	20	4	However, the convoluted organization of the two manuscripts require the reader to sift through disparate data to reach a clear understanding of how the proboscis motor system is organized.
57	[Introduction]	20	5	These manuscripts would need to be significantly reorganized and streamlined to be understood by a general neuroscience audience.
58	[Introduction]	21	1	Essential revisions:
59	[Introduction]	22	1	1) It is not clear to why these manuscripts are separate.
60	[Introduction]	22	2	The basis for separating them seems to be to avoid one behemoth paper but the division between tools and function obscures the take-home message of the work.
