	tag	label	sentence	text
1	figure	Fig. 1	1	Joint kinematics during forward and backward walking. a An example frame from high-speed videos of fly walking on a 6-mm diameter ball.
2	figure	Fig. 1	2	Colored dots indicate anatomical landmarks annotated by an artificial neural network trained on DeepLabCut. b Right, schematic of a Drosophila leg showing each leg segment and joint, and color codes used for each joint in all Figures.
3	figure	Fig. 1	3	Left, joint angle tracking from an episode of an MDN > CsChrimson fly walking on ball.
4	figure	Fig. 1	4	Red bars indicate the red-light stimulus. c Top, a frame from the Supplementary Movie 1 tracked in b, overlaid with the trajectory of tarsal tips of all three legs during forward walking (white) and backward walking (red).
5	figure	Fig. 1	5	Bottom, average trajectories of tarsal tips during forward walking (gray) and backward walking (red).
6	figure	Fig. 1	6	Anterior (AEP), posterior (PEP), and dorsal (DEP) extreme positions for the hindleg are indicated.
7	figure	Fig. 1	7	See also Supplementary Movie 1. d Joint angles from averaged steps of hindleg and foreleg during forward walking and backward walking.
8	figure	Fig. 1	8	Grey shading represents swing phase, as inferred from the averaged tarsal tip trajectories.
9	figure	Fig. 1	9	N = 7 flies; n = 156, 75, 156, or 142 steps (from left to right). e Average step size for each fly during forward and backward walking, defined as the distance between AEP and PEP.
10	figure	Fig. 1	10	F forward walking, B backward walking.
11	figure	Fig. 1	11	Bars indicate mean ± s.e.m. of per fly averages for e–h. f Average swing stroke amplitude, defined as the distance between DEP and the line segment connecting AEP and PEP. g Average foreleg joint angle range (maximum–minimum angle). h Average hindleg joint angle range. i Representative joint angle tracking of flies with fore-, mid-, or hindlegs bilaterally amputated at the tarsus.
12	figure	Fig. 1	12	Dashed boxes indicate the amputated leg.
13	figure	Fig. 1	13	See also Supplementary Movie 2. j Stepping frequency for each leg, before and after amputation, shown as mean ± s.e.m. n = 6 flies for each group.
14	figure	Fig. 1	14	Grey lines indicate paired trial averages for the same fly, before and after amputation.
15	figure	Fig. 1	15	P values are shown in italics; two-tailed paired t-tests.
16	figure	Fig. 1	16	Source data are provided as a Source Data file.
17	figure	Fig. 2	1	Trans-Tango reveals cells postsynaptic to MDNs. a Top, schematic of trans-Tango labeling, showing target cell in green and trans-synaptically labeled cells in red.
18	figure	Fig. 2	2	Bottom, an example of trans-Tango labeling of cells postsynaptic to MDNs, targeted with MDN-1-GAL4.
19	figure	Fig. 2	3	Left, maximum projection confocal image of the VNC, shown in ventral and lateral views, with MDN axons in green (anti-GFP), trans-Tango labeled cells in red (anti-HA), and all synapses in blue (anti-Bruchpilot, nc82).
20	figure	Fig. 2	4	Right, the same sample registered onto a standard VNC template, with the trans-Tango channel shown as a color-coded maximal intensity projection (colorMIP) in which color encodes the z-section in which the maximum occurs. b Top, schematic of stochastic trans-Tango labeling.
21	figure	Fig. 2	5	Bottom left and middle, standard deviation projections of colorMIP images of the post- and presynaptic channels, respectively, of 541 stochastic trans-Tango samples.
22	figure	Fig. 2	6	Bottom right, standard deviation projection of 65 types of segmented neurons and their mirror images. c Segmented MT cell types from stochastic trans-Tango dataset, shown as registered maximum intensity projections overlaid on the JRC2017 template VNC.
23	figure	Fig. 2	7	Cell-type designations are colored to indicate ascending neurons (black), and interneurons with soma located in either T1 (red), T2 (green), or T3 (blue).
24	figure	Fig. 2	8	Each cell type is given a provisional name beginning with “MT” (“MDN trans-Tango”).
25	figure	Fig. 3	1	MDN-responsive neurons identified by functional imaging. a Schematic of the functional imaging and data analysis pipeline. b Maximum intensity projections of imaged VNC volumes during photostimulation, using MDN-1-GAL4 to drive Chrimson88 in MDNs.
26	figure	Fig. 3	2	Cyan represents activated voxels; red represents inhibited voxels.
27	figure	Fig. 3	3	See also Supplementary Movie 3.
28	figure	Fig. 3	4	We recorded from at least 5 independent samples for each genotype and obtained similar results across the samples. c Top, pipeline for discovering cell types that are functionally connected to MDN.
29	figure	Fig. 3	5	Bottom, an example showing how an MDN-responsive cell type is identified.
