	tag	label	sentence	text
1	figure	Figure 1	1	Genetic tools to access cell types in the Drosophila visual system.
2	figure	Figure 1	2	(A) Major brain regions profiled in this study (brain image from Jenett et al., 2012).
3	figure	Figure 1	3	The optic lobes have a repetitive structure of ~750 retinotopically arranged visual columns of similar cellular composition.
4	figure	Figure 1	4	(B,C) Examples of single cells in the optic lobe.
5	figure	Figure 1	5	(B) Left, subregions of the fly visual system.
6	figure	Figure 1	6	Right, examples of layers and neuropil patterns of various classes of visual system neurons.
7	figure	Figure 1	7	(C) We profiled cell types arborizing in the lamina (blue), medulla (purple) and lobula complex (green) of the visual system.
8	figure	Figure 1	8	Many cells contribute to multiple neuropiles so other groupings are possible.
9	figure	Figure 1	9	Note, some cell types are present at one cell per column, while others are less numerous with cells that each contribute to several columns.
10	figure	Figure 1	10	For example, the main synaptic region of the first optic lobe layer, the lamina, contains processes of some 13,000 cells but these belong to only 17 main cell types: 14 neuronal and three glial (Figure 1C, top row).
11	figure	Figure 1	11	A small number of additional neurons (lamina tangential cells, Lat) project to a region just distal to the main lamina neuropile.
12	figure	Figure 1	12	(D) Representative expression patterns of driver lines that target specific cell types.
13	figure	Figure 1	13	Each image is a maximum intensity projection of a whole brain confocal stack (only one optic lobe is shown).
14	figure	Figure 1	14	In each image the brain is counter-stained (magenta) with a neuropil marker and both the targeted cell type and the driver are indicated in the lower left and right corner, respectively.
15	figure	Figure 1	15	Additional images (focusing on drivers first described in this study) are shown in Figure 1—figure supplements 1 and 2.
16	figure	Figure 1	16	Imaging parameters and brightness and contrast were adjusted individually for each image.
17	figure	Figure 1	17	For genotypes and image details see Supplementary file 1E.
18	figure	Figure 1—figure supplement 1	1	Whole brain expression patterns of new driver lines generated in this study.
19	figure	Figure 1—figure supplement 1	2	(A) Maximum intensity projection of confocal stacks taken from whole fly brains (only one optic lobe is shown).
20	figure	Figure 1—figure supplement 1	3	Expression patterns of the driver lines (myristoylated-GFP) are in green and a neuropil marker is in magneta.
21	figure	Figure 1—figure supplement 1	4	Imaging parameters and brightness and contrast were individually adjusted for each sample.
22	figure	Figure 1—figure supplement 1	5	(B, B’) T4 and T5 cells comprise four subtypes (a,b,c,d) each of which project to specific layers of the lobula plate (B’).
23	figure	Figure 1—figure supplement 1	6	(C, C’).
24	figure	Figure 1—figure supplement 1	7	Individual T4 and T5 driver lines label combinations of subtypes but show preferential expression in some subtypes.
25	figure	Figure 1—figure supplement 1	8	Subtypes were identified by their projections to specific layers in the lobula plate (C,C’).
26	figure	Figure 1—figure supplement 1	9	For example, T5_d2 mainly labels lobula plate layers one and two, indicating expression in T5a and T5b.
27	figure	Figure 1—figure supplement 1	10	Each of the lower panels is a higher magnification view of the lobula plate region (C’).
28	figure	Figure 1—figure supplement 1	11	In (C) both the driver and the split identifier are indicated in the lower left and right corner respectively.
29	figure	Figure 1—figure supplement 2	1	Optic lobe patterns of driver lines.
