	section	paragraph	sentence	text
1	Title	1	1	Visual Input into the Drosophila melanogaster Mushroom Body
2	Abstract	1	1	The patterns of neuronal connectivity underlying multisensory integration, a fundamental property of many brains, remain poorly characterized.
3	Abstract	1	2	The Drosophila melanogaster mushroom body-an associative center-is an ideal system to investigate how different sensory channels converge in higher order brain centers.
4	Abstract	1	3	The neurons connecting the mushroom body to the olfactory system have been described in great detail, but input from other sensory systems remains poorly defined.
5	Abstract	1	4	Here, we use a range of anatomical and genetic techniques to identify two types of input neuron that connect visual processing centers-the lobula and the posterior lateral protocerebrum-to the dorsal accessory calyx of the mushroom body.
6	Abstract	1	5	Together with previous work that described a pathway conveying visual information from the medulla to the ventral accessory calyx of the mushroom body, our study defines a second, parallel pathway that is anatomically poised to convey information from the visual system to the dorsal accessory calyx.
7	In Brief	1	1	Li et al. find that the dorsal accessory calyx of the Drosophila melanogaster mushroom body integrates visual input from the lobula and the posterior lateral protocerebrum.
8	INTRODUCTION	1	1	Sensory systems use different strategies to detect specific physical features of the outside world.
9	INTRODUCTION	1	2	For instance, the olfactory system contains many different types of sensory neuron that are each specialized in detecting a specific class of volatile chemicals.
10	INTRODUCTION	1	3	Through only two neuronal layers, olfactory information-the identity of an odor and its concentration-is relayed to higher brain centers (Leinwand and Chalasani, 2011).
11	INTRODUCTION	1	4	In contrast, the visual system contains far fewer types of sensory neuron, but through numerous neuronal layers, it relays a range of highly processed information-for instance, color, brightness, motion, and shape-to higher brain centers (Baden et al., 2020).
12	INTRODUCTION	1	5	Thus, higher brain centers have to integrate different types of processed information, bind that information into a coherent representation of the outside world, and use such representations to guide behavior (Yau et al., 2015).
13	INTRODUCTION	1	6	How higher brain centers achieve this feat remains largely unknown.
14	INTRODUCTION	1	7	This gap in our knowledge mainly stems from the fact that higher brain centers are formed by a large number of neurons and that the projection neurons conveying information from different sensory systems to these centers often remain poorly characterized.
15	INTRODUCTION	1	8	This makes it difficult to understand whether there are specific patterns of neuronal connectivity that enable multisensory integration and what the nature of these patterns are.
16	INTRODUCTION	1	9	Deciphering the fundamental neuronal mechanisms that underlie multisensory integration requires a model system such as the Drosophila melanogaster mushroom body, which consists of a relatively small number of neurons whose connections can be charted reliably.
17	INTRODUCTION	2	1	The Drosophila mushroom body is formed by ∼2,000 neurons-called the Kenyon cells-and has long been studied for its essential role in the formation of olfactory associative memories (Aso et al., 2014; Hige, 2018).
18	INTRODUCTION	2	2	The identity of the projection neurons that connect the olfactory system to the mushroom body-and the way Kenyon cells integrate input from these neurons-has been characterized in great detail, highlighting fundamental connectivity patterns that enable this higher brain center to represent olfactory information efficiently (Bates et al., 2020; Caron et al., 2013; Tanaka et al., 2012a, 2012b; Zheng et al., 2018).
19	INTRODUCTION	2	3	Evidence in Drosophila melanogaster shows that the mushroom body is more than an olfactory center, as it is also required for the formation of visual and gustatory associative memories (Liu et al., 1999; Masek and Scott, 2010; Vogt et al., 2014).
20	INTRODUCTION	2	4	However, the identity of the neurons that connect the mushroom body to other sensory systems remains poorly characterized.
21	INTRODUCTION	2	5	Thus, a first step toward understanding how the mushroom body integrates multisensory information is to identify such non-olfactory mushroom body input neurons and the genetic tools necessary to manipulate these neurons.
22	INTRODUCTION	3	1	The mushroom body receives its input through its calyx and sends its output through its lobes.
